descricao;dados_imovel;caracteristicas;coordenadas;link;preco;anunciante
Apartamento T1 para comprar no Porto;{'ESTADO': 'Novo', 'ÁREA ÚTIL': '42m²', 'ÁREA BRUTA': '43m²', 'ANO DE CONSTRUÇÃO': '2024', 'REFERÊNCIA': 'CasaSAPO_16173-p', 'CERTIFICAÇÃO ENERGÉTICA': 'A+', 'VISUALIZAÇÕES': '431', 'CLIQUES': '13', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): 1'], 'zona-envolvente': ['Auto-Estrada', 'Banco', 'Centro Comercial', 'Centro da Cidade', 'Espaços Verdes', 'Estação Rodoviária', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Hospital', 'Metro', 'Posto de Combustível', 'Transportes Públicos', 'Zona Comercial'], 'equipamentos': ['Elevador', 'Estores Electricos', 'Exaustor', 'Forno', 'Gás Canalizado', 'Gás Natural', 'Máquina de Lavar Roupa', 'Máquina de Secar Roupa', 'Placa Vitrocerâmica', 'Porta Alta Segurança', 'Porta Blindada', 'Roupeiros', 'Video Porteiro'], 'extras': ['Fim da construção: 2024-03-31'], 'areas': ['Área Bruta: 43.00', 'Área Útil: 42.00']};{'lat': '41.1665561897', 'long': '-8.626208045'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1061114&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t1-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-boavista-(cedofeita)-14d01b04-da67-11f0-8add-060000000054.html?g3pid=1061114;"265.000 €
270.000 €
-1,85%";A Predial Liz - Sociedade Mediação Imobiliária, Lda
Apartamento T2 para comprar no Porto;{'ESTADO': 'Recuperado', 'ÁREA ÚTIL': '72m²', 'ÁREA BRUTA': '72m²', 'ANO DE CONSTRUÇÃO': '1995', 'REFERÊNCIA': 'CasaSAPO_2630/1A', 'CERTIFICAÇÃO ENERGÉTICA': 'D', 'VISUALIZAÇÕES': '908', 'CLIQUES': '37', 'PUBLICADO EM': '15/01/2026'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): 2'], 'zona-envolvente': ['Auto-Estrada', 'Centro da Cidade', 'Escola', 'Farmácia', 'Hipermercado', 'Polícia', 'Transportes Públicos'], 'equipamentos': ['Elevador'], 'extras': ['Edifício', 'Piso: 2', 'Fim da construção: 1995-01-19'], 'areas': ['Área Útil: 72.00', 'Área Bruta: 72.00']};{'lat': '41.1593964538', 'long': '-8.6385155894'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060976&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-a069b92c-f202-11f0-8add-060000000054.html?g3pid=1060976;250.000 €;Imo2007 – Mediação Imobiliária, Lda
Apartamento T1 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '65m²', 'ANO DE CONSTRUÇÃO': '1996', 'CERTIFICAÇÃO ENERGÉTICA': 'B', 'VISUALIZAÇÕES': '6 467', 'CLIQUES': '225', 'PARTILHAS': '4', 'PUBLICADO EM': 'há mais de um mês'};;{'lat': '41.1678480343', 'long': '-8.6681681547'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1058443&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-porto-aldoar-foz-do-douro-e-nevogilde-pinhais-da-foz-(foz-do-douro)-60b5ba92-11bc-4dd1-9629-4332702c4885.html?g3pid=1058443;480.000 €;Joaquim Carvalho
Apartamento T3 para comprar no Porto;{'ESTADO': 'Em projecto', 'ÁREA BRUTA': '124m²', 'ANO DE CONSTRUÇÃO': '2027', 'REFERÊNCIA': 'CasaSAPO_APTAF121', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '4 038', 'CLIQUES': '44', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 3', 'Cozinha(s): 1', 'Hall de Quartos: 1', 'Lavandaria: 1', 'Open Space', 'Sala(s): 1', 'Total quarto(s): 3'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Posto de Combustível', 'Praça Táxis', 'Terreno', 'Transportes Públicos', 'Vista para Cidade', 'Vista para Jardim', 'Zona Comercial', 'Zona Histórica'], 'equipamentos': ['Aquecimento Central', 'Ar Condicionado', 'Caixilharia corte térmico', 'Elevador', 'Estores Electricos', 'Exaustor', 'Forno', 'Frigorífico', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche: 2', 'Porta Alta Segurança', 'Roupeiros: 2', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Luz Natural'], 'extras': ['Piso: 2', 'Fim da construção: 2027-09-30'], 'areas': ['Área de Quarto: 11.96', 'Área de Quarto: 11.96', 'Área de Quarto: 11.96', 'Área de Casa de Banho: 1.70', 'Área de Casa de Banho: 4.01', 'Área de Casa de Banho: 6.09', 'Área de Sala: 41.52', 'Área Bruta: 124.00'], 'infraestruturas': ['Jardim', 'Terraço']};{'lat': '41.1671674807', 'long': '-8.6163113043'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060594&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-paranhos-b19cc92e-b522-11ee-a521-060000000056.html?g3pid=1060594;518.000 €;IMOJOY Real Estate
Apartamento T1 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '62m²', 'ÁREA BRUTA': '66m²', 'LICENÇA DE HABITAÇÃO': '44/1988', 'REFERÊNCIA': 'CasaSAPO_APTMIT008', 'CERTIFICAÇÃO ENERGÉTICA': 'D', 'VISUALIZAÇÕES': '6 271', 'CLIQUES': '144', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Centro Comercial', 'Centro da Cidade', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Mercado', 'Perto da praia', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial'], 'conforto-e-lazer': ['Luz Natural'], 'extras': ['Piso: Não'], 'areas': ['Área Bruta: 66.20', 'Área de Terreno: 51.60', 'Área Útil: 62.80'], 'infraestruturas': ['Acesso Pavimentado', 'Logradouro']};{'lat': '41.15509', 'long': '-8.58027'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060593&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t1-porto-campanha-b2a22e01-819b-11f0-9e61-060000000056.html?g3pid=1060593;175.000 €;IMOJOY Real Estate
Apartamento T3 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '126m²', 'ÁREA BRUTA': '199m²', 'LICENÇA DE HABITAÇÃO': '83', 'REFERÊNCIA': 'CasaSAPO_APTSFS193', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '22 833', 'CLIQUES': '221', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 2', 'Corredor: 1', 'Cozinha(s): 1', 'Despensa(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Lavandaria: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Suite(s): 1', 'Total quarto(s): 3', 'Varandas: 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Centro de Saúde', 'Escola', 'Espaços Verdes', 'Estação Rodoviária', 'Estacionamento Público', 'Farmácia', 'Ginásio', 'Hipermercado', 'Hospital', 'Mercado', 'Polícia', 'Posto de Combustível', 'Praça Táxis', 'Transportes Públicos'], 'equipamentos': ['Aquecimento Central', 'Banheira: 1', 'Caixilharia corte térmico', 'Caldeira', 'Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Lareira', 'Ligação Wi-fi', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Placa de Indução', 'Poliban/Base de Duche: 1', 'Roupeiros: 3', 'Vidros Duplos'], 'conforto-e-lazer': ['Luz Natural'], 'extras': ['Conservação: Bom', 'Piso: 3'], 'areas': ['Área Bruta: 199.90', 'Área Útil: 126.40'], 'infraestruturas': ['Acesso Pavimentado', 'Arrecadação: 1']};{'lat': '41.1620131472', 'long': '-8.6650195544'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060567&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-aldoar-foz-do-douro-e-nevogilde-e452fb3f-7c09-11ef-9e61-060000000056.html?g3pid=1060567;695.000 €;IMOJOY Real Estate
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '70m²', 'ÁREA BRUTA': '77m²', 'ANO DE CONSTRUÇÃO': '2027', 'REFERÊNCIA': 'CasaSAPO_APTSFS359', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '2 383', 'CLIQUES': '32', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Corredor: 1', 'Cozinha(s): 1', 'Despensa(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estação Ferroviária', 'Estação Rodoviária', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Sul/Poente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade'], 'equipamentos': ['Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Janelas Alumínio', 'Máquina de Lavar Louça', 'Microondas', 'Poliban/Base de Duche: 2', 'Pré-instalação ar condicionado', 'Roupeiros: 1', 'Termoacumulador', 'Video Porteiro: 1', 'Vidros Duplos'], 'conforto-e-lazer': ['Contemporâneo', 'Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2027-07-31', 'Piso: 1'], 'areas': ['Área de Quarto: 10.00', 'Área de Quarto: 10.00', 'Área de Casa de Banho: 5.00', 'Área de Sala: 31.00', 'Área Bruta: 77.00', 'Área de Cozinha: 7.00', 'Área de Despensa: 2.00', 'Área Terraço: 9.00', 'Área Útil: 70.00'], 'infraestruturas': ['Acesso Mobilidade Reduzida', 'Acesso Pavimentado', 'Estacionamento Interior: 1', 'Garagem']};{'lat': '41.15158', 'long': '-8.56663'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060566&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-campanha-b7bfa911-9255-11f0-9e61-060000000056.html?g3pid=1060566;270.000 €;IMOJOY Real Estate
Apartamento T0 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '45m²', 'ANO DE CONSTRUÇÃO': '2026', 'REFERÊNCIA': 'CasaSAPO_APTADF213.1', 'CERTIFICAÇÃO ENERGÉTICA': 'E', 'VISUALIZAÇÕES': '1 263', 'CLIQUES': '11', 'PUBLICADO EM': '13/01/2026'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): Não'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Excelentes Acessos', 'Farmácia', 'Hipermercado', 'Mercado', 'Metro', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial', 'Zona Histórica'], 'equipamentos': ['Ar Condicionado', 'Banho turco', 'Caixilharia corte térmico', 'Combinado', 'Exaustor', 'Isolamento Acústico', 'Isolamento Térmico', 'Placa de Indução', 'Poliban/Base de Duche', 'Roupeiros', 'Vidros Duplos'], 'conforto-e-lazer': ['Contemporâneo', 'Cosmopolita', 'Histórico', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2026-12-31', 'Piso: 3'], 'areas': ['Área de Casa de Banho: 5.00', 'Área de Sala: 26.70', 'Área Bruta: 45.00']};{'lat': '41.15174', 'long': '-8.6178'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060559&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t0-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-7b5fc2a8-f091-11f0-9e61-060000000056.html?g3pid=1060559;307.775 €;IMOJOY Real Estate
Apartamento T4 para comprar no Porto;{'ESTADO': 'Novo', 'ÁREA ÚTIL': '173m²', 'ÁREA BRUTA': '192m²', 'ANO DE CONSTRUÇÃO': '2021', 'LICENÇA DE HABITAÇÃO': '179707', 'REFERÊNCIA': 'CasaSAPO_ZMPT584225', 'CERTIFICAÇÃO ENERGÉTICA': 'B', 'VISUALIZAÇÕES': '1 747', 'CLIQUES': '9', 'PUBLICADO EM': '16/01/2026'};{'divisoes': ['Total quarto(s): 4', 'Casa(s) de Banho: 4', 'Número de pisos: 1'], 'extras': ['Fim da construção: 2021-01-01'], 'areas': ['Área Útil: 173.00', 'Área Bruta: 192.00']};{'lat': '41.1682501414', 'long': '-8.5861067002'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060473&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t4-porto-campanha-f61e48f1-efe1-11f0-a505-060000000058.html?g3pid=1060473;750.000 €;Zome Pr1me
Apartamento T3+1 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA BRUTA': '153m²', 'REFERÊNCIA': 'CasaSAPO_93932', 'CERTIFICAÇÃO ENERGÉTICA': 'B-', 'VISUALIZAÇÕES': '2 985', 'CLIQUES': '64', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Total quarto(s): 3', 'Total quarto(s) interiores: 1', 'Casa(s) de Banho: 3', 'Sala(s): 1'], 'zona-envolvente': ['Escola', 'Farmácia', 'Hipermercado', 'Transportes Públicos', 'Condomínio Fechado', 'Estacionamento', 'Estacionamento Público'], 'equipamentos': ['Elevador', 'Exaustor', 'Fogão', 'Frigorífico', 'Isolamento Acústico', 'Lareira', 'Máquina de Lavar Roupa', 'Microondas'], 'extras': ['Piso: 5'], 'areas': ['Área Bruta: 153.00', 'Área de Quarto: 14.00', 'Área de Quarto: 13.80', 'Área de Quarto: 17.40', 'Área quarto(s) interiores: 8.20', 'Área de Casa de Banho: 3.00', 'Área de Casa de Banho: 4.50', 'Área de Casa de Banho: 5.00', 'Área de Sala: 55.00', 'Área de Cozinha: 10.00', 'Área de Suite: 17.40', 'Área Hall de Entrada: 10.00', 'Área Lavandaria: 6.00'], 'infraestruturas': ['Garagem: 2']};{'lat': '41.16577', 'long': '-8.64765'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1060257&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-ramalde-pinheiro-manso-2d75d058-b587-11f0-9379-060000000058.html?g3pid=1060257;575.000 €;JLL Residential
