descricao;dados_imovel;caracteristicas;coordenadas;link;preco;anunciante
Apartamento T3 para comprar no Porto;{'ESTADO': 'Renovado', 'ÁREA ÚTIL': '93m²', 'ÁREA BRUTA': '113m²', 'REFERÊNCIA': 'CasaSAPO_APTSFS189', 'CERTIFICAÇÃO ENERGÉTICA': 'D', 'VISUALIZAÇÕES': '19 101', 'CLIQUES': '205', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Corredor: 1', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Sala(s): 1', 'Total quarto(s): 3'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Posto de Combustível', 'Praça Táxis', 'Transportes Públicos', 'Universidade', 'Vista para Cidade', 'Zona Comercial', 'Zona Histórica'], 'equipamentos': ['Elevador', 'Exaustor', 'Isolamento Acústico', 'Isolamento Térmico', 'Placa de Indução', 'Video Porteiro'], 'conforto-e-lazer': ['Luz Natural'], 'extras': ['Conservação: Bom', 'Piso: 16'], 'areas': ['Área Bruta: 113.00', 'Área Útil: 93.00'], 'infraestruturas': ['Estacionamento Interior: 2']};{'lat': '41.1653228504', 'long': '-8.6476526093'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056345&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-ramalde-1e92ab7d-c99e-11ee-a521-060000000056.html?g3pid=1056345;410.000 €;IMOJOY Real Estate
Apartamento T3 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '126m²', 'ÁREA BRUTA': '199m²', 'LICENÇA DE HABITAÇÃO': '83', 'REFERÊNCIA': 'CasaSAPO_APTSFS193', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '20 168', 'CLIQUES': '207', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 2', 'Corredor: 1', 'Cozinha(s): 1', 'Despensa(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Lavandaria: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Suite(s): 1', 'Total quarto(s): 3', 'Varandas: 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Centro de Saúde', 'Escola', 'Espaços Verdes', 'Estação Rodoviária', 'Estacionamento Público', 'Farmácia', 'Ginásio', 'Hipermercado', 'Hospital', 'Mercado', 'Polícia', 'Posto de Combustível', 'Praça Táxis', 'Transportes Públicos'], 'equipamentos': ['Aquecimento Central', 'Banheira: 1', 'Caixilharia corte térmico', 'Caldeira', 'Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Lareira', 'Ligação Wi-fi', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Placa de Indução', 'Poliban/Base de Duche: 1', 'Roupeiros: 3', 'Vidros Duplos'], 'conforto-e-lazer': ['Luz Natural'], 'extras': ['Conservação: Bom', 'Piso: 3'], 'areas': ['Área Bruta: 199.90', 'Área Útil: 126.40'], 'infraestruturas': ['Acesso Pavimentado', 'Arrecadação: 1']};{'lat': '41.1645466045', 'long': '-8.6661302739'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056344&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-aldoar-foz-do-douro-e-nevogilde-e452fb3f-7c09-11ef-9e61-060000000056.html?g3pid=1056344;695.000 €;IMOJOY Real Estate
Apartamento T2+1 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '125m²', 'ANO DE CONSTRUÇÃO': '2026', 'REFERÊNCIA': 'CasaSAPO_APTSFS201', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 220', 'CLIQUES': '27', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 3', 'Escritório(s): 1', 'Hall de Entrada: 1', 'Sala(s): 1', 'Total quarto(s): 2', 'Total quarto(s) interiores: 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Banco', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Escola', 'Espaços Verdes', 'Estação Ferroviária', 'Estação Rodoviária', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Metro', 'Orientação Solar: Poente/Norte/Nascente', 'Posto de Combustível', 'Praça Táxis', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial', 'Zona Histórica'], 'equipamentos': ['Caixilharia corte térmico', 'Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Placa de Indução', 'Poliban/Base de Duche', 'Pré-instalação ar condicionado', 'Roupeiros', 'Vidros Duplos'], 'conforto-e-lazer': ['Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2026-06-30', 'Piso: 1'], 'areas': ['Área de Quarto: 14.66', 'Área de Quarto: 17.15', 'Área quarto(s) interiores: 10.93', 'Área de Casa de Banho: 5.01', 'Área de Casa de Banho: 2.41', 'Área de Casa de Banho: 1.65', 'Área de Sala: 31.85', 'Área Bruta: 125.00'], 'infraestruturas': ['Acesso Pavimentado', 'Arrecadação: 1', 'Estacionamento Interior: 1']};{'lat': '41.1483969433', 'long': '-8.5929804809'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056343&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-bonfim-e3a4ebba-8fb4-11ef-9e61-060000000056.html?g3pid=1056343;470.000 €;IMOJOY Real Estate
Apartamento T0 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '39m²', 'ANO DE CONSTRUÇÃO': '2026', 'REFERÊNCIA': 'CasaSAPO_APTSFS242', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 150', 'CLIQUES': '17', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Corredor: 1', 'Cozinha(s): 1', 'Open Space: 1', 'Sala(s): 1', 'Total quarto(s): Não', 'Varandas: 1'], 'zona-envolvente': ['Aeroporto', 'Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Metro', 'Orientação Solar: Poente', 'Polícia', 'Posto de Combustível', 'Praça Táxis', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial', 'Zona Histórica'], 'equipamentos': ['Bomba de calor', 'Caixilharia corte térmico', 'Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Placa Vitrocerâmica', 'Poliban/Base de Duche', 'Roupeiros', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Contemporâneo', 'Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2026-12-31', 'Inicio da construção: 2025-05-01', 'Piso: 3'], 'areas': ['Área de Casa de Banho: 5.20', 'Área de Sala: 23.00', 'Área Bruta: 39.00'], 'infraestruturas': ['Acesso Pavimentado']};{'lat': '41.1793520912', 'long': '-8.5849011474'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056342&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t0-porto-paranhos-da4c2fcf-f04c-11ef-9e61-060000000056.html?g3pid=1056342;220.000 €;IMOJOY Real Estate
Apartamento T2+1 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '74m²', 'ÁREA BRUTA': '99m²', 'ANO DE CONSTRUÇÃO': '2026', 'REFERÊNCIA': 'CasaSAPO_APTSFS339', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '541', 'CLIQUES': '12', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 2', 'Corredor: 1', 'Cozinha(s): 1', 'Escritório(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Suite(s): 1', 'Total quarto(s): 2', 'Total quarto(s) interiores: 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Auto-Estrada', 'Banco', 'Centro Comercial', 'Centro da Cidade', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Hospital', 'Mercado', 'Orientação Solar: Nascente/Poente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade'], 'equipamentos': ['Ar Condicionado', 'Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche: 2', 'Roupeiros: 2', 'Termoacumulador', 'Video Porteiro: 1', 'Vidros Duplos'], 'conforto-e-lazer': ['Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2026-12-01', 'Piso: 3'], 'areas': ['Área de Quarto: 15.80', 'Área de Quarto: 11.10', 'Área de Casa de Banho: 5.30', 'Área de Casa de Banho: 3.20', 'Área de Sala: 25.30', 'Área Bruta: 99.00', 'Área de Armazenamento: 8.00', 'Área de Cozinha: 10.50', 'Área de Despensa: 5.20', 'Área de Estacionamento: 18.00', 'Área de Garagem: 18.00', 'Área de Suite: 13.20', 'Área Hall de Entrada: 8.00', 'Área Varanda: 4.00', 'Área Útil: 74.16'], 'infraestruturas': ['Arrecadação: 1', 'Estacionamento Interior: 1', 'Garagem']};{'lat': '41.1541764546', 'long': '-8.6124823212'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056341&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-3d02b536-0b2a-11f0-9e61-060000000056.html?g3pid=1056341;700.000 €;IMOJOY Real Estate
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '74m²', 'ÁREA BRUTA': '81m²', 'ANO DE CONSTRUÇÃO': '2027', 'REFERÊNCIA': 'CasaSAPO_APTSFS360', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 740', 'CLIQUES': '33', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Corredor: 1', 'Cozinha(s): 1', 'Despensa(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estação Ferroviária', 'Estação Rodoviária', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Sul/Poente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade'], 'equipamentos': ['Combinado', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Janelas Alumínio', 'Máquina de Lavar Louça', 'Microondas', 'Poliban/Base de Duche: 1', 'Pré-instalação ar condicionado', 'Roupeiros: 1', 'Termoacumulador', 'Video Porteiro: 1', 'Vidros Duplos'], 'conforto-e-lazer': ['Contemporâneo', 'Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2027-07-31', 'Piso: 3'], 'areas': ['Área de Quarto: 10.00', 'Área de Quarto: 10.00', 'Área de Casa de Banho: 5.00', 'Área de Sala: 24.00', 'Área Bruta: 81.40', 'Área de Cozinha: 6.00', 'Área de Despensa: 2.00', 'Área Útil: 74.00'], 'infraestruturas': ['Acesso Mobilidade Reduzida', 'Acesso Pavimentado', 'Estacionamento Interior: 1', 'Garagem']};{'lat': '41.15158', 'long': '-8.56663'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056340&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-campanha-2dbdb388-9256-11f0-9e61-060000000056.html?g3pid=1056340;270.000 €;IMOJOY Real Estate
Apartamento T3+1 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA BRUTA': '153m²', 'REFERÊNCIA': 'CasaSAPO_93932', 'CERTIFICAÇÃO ENERGÉTICA': 'B-', 'VISUALIZAÇÕES': '420', 'CLIQUES': '24', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Total quarto(s): 3', 'Total quarto(s) interiores: 1', 'Casa(s) de Banho: 3', 'Sala(s): 1'], 'zona-envolvente': ['Escola', 'Farmácia', 'Hipermercado', 'Transportes Públicos', 'Condomínio Fechado', 'Estacionamento', 'Estacionamento Público'], 'equipamentos': ['Elevador', 'Exaustor', 'Fogão', 'Frigorífico', 'Isolamento Acústico', 'Lareira', 'Máquina de Lavar Roupa', 'Microondas'], 'extras': ['Piso: 5'], 'areas': ['Área Bruta: 153.00', 'Área de Quarto: 14.00', 'Área de Quarto: 13.80', 'Área de Quarto: 17.40', 'Área quarto(s) interiores: 8.20', 'Área de Casa de Banho: 3.00', 'Área de Casa de Banho: 4.50', 'Área de Casa de Banho: 5.00', 'Área de Sala: 55.00', 'Área de Cozinha: 10.00', 'Área de Suite: 17.40', 'Área Hall de Entrada: 10.00', 'Área Lavandaria: 6.00'], 'infraestruturas': ['Garagem: 2']};{'lat': '41.16577', 'long': '-8.64765'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056001&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-ramalde-pinheiro-manso-2d75d058-b587-11f0-9379-060000000058.html?g3pid=1056001;575.000 €;JLL Residential
Apartamento T0 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA BRUTA': '30m²', 'REFERÊNCIA': 'CasaSAPO_93962', 'CERTIFICAÇÃO ENERGÉTICA': 'B', 'VISUALIZAÇÕES': '387', 'CLIQUES': '21', 'PUBLICADO EM': '02/12/2025'};{'divisoes': ['Casa(s) de Banho: 1', 'Kitchenette', 'Sala(s): 1', 'Total quarto(s): Não'], 'zona-envolvente': ['Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Farmácia', 'Mercado', 'Centro da Cidade', 'Transportes Públicos'], 'equipamentos': ['Aquecimento autónomo', 'Ar Condicionado', 'Exaustor', 'Frigorífico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Máquina de Secar Roupa', 'Microondas', 'Roupeiros', 'Video Porteiro', 'Aquecimento individual: 1'], 'conforto-e-lazer': ['Cosmopolita'], 'extras': ['Piso: 1'], 'areas': ['Área Bruta: 30.00']};{'lat': '41.15234', 'long': '-8.61366'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056002&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t0-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-baixa-(cedofeita)-89b92a49-b5b5-11f0-9379-060000000058.html?g3pid=1056002;160.000 €;JLL Residential
Apartamento T4 para comprar no Porto;{'ÁREA BRUTA': '174m²', 'REFERÊNCIA': 'CasaSAPO_94306', 'CERTIFICAÇÃO ENERGÉTICA': 'D', 'VISUALIZAÇÕES': '232', 'CLIQUES': '13', 'PUBLICADO EM': '03/12/2025'};{'divisoes': ['Total quarto(s): 4', 'Casa(s) de Banho: 3', 'Sala(s): 1', 'Copa(s)', 'Cozinha(s)', 'Despensa(s)', 'Hall de Entrada', 'Lavabo', 'Lavandaria'], 'zona-envolvente': ['Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Farmácia', 'Ginásio', 'Mercado', 'Perto da praia', 'Transportes Públicos', 'Vista para Mar'], 'equipamentos': ['Aquecimento Central', 'Aquecimento individual: 1', 'Elevador', 'Forno', 'Frigorífico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Recuperador de calor', 'Roupeiros', 'Termoacumulador', 'Toalheiros Aquecidos', 'Vidros Duplos', 'Ar Condicionado'], 'extras': ['Piso: 3', 'Conservação: Bom'], 'areas': ['Área Bruta: 174.30']};{'lat': '41.15284', 'long': '-8.67761'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1056006&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t4-porto-aldoar-foz-do-douro-e-nevogilde-foz-(foz-do-douro)-08272ac2-bb27-11f0-bd5e-060000000058.html?g3pid=1056006;995.000 €;JLL Residential
Apartamento T2 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '71m²', 'ÁREA BRUTA': '76m²', 'ANO DE CONSTRUÇÃO': '1989', 'REFERÊNCIA': 'CasaSAPO_35461', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '84', 'CLIQUES': '11', 'PUBLICADO EM': '02/12/2025'};{'divisoes': ['Casa(s) de Banho: 2', 'Total quarto(s): 2', 'Casa de banho de serviço: 1', 'Closet', 'Cozinha(s)', 'Hall de Quartos', 'Open Space', 'Sala(s): 1', 'Varandas: 2'], 'zona-envolvente': ['Centro da Cidade', 'Escola', 'Farmácia', 'Polícia', 'Transportes Públicos', 'Orientação Solar: Poente', 'Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Bombeiros', 'Centro Comercial', 'Centro de Saúde', 'Comércio Tradicional', 'Distância estação comboio: 5 minutos', 'Distância metro: 5 minutos', 'Espaços Verdes', 'Excelentes Acessos', 'Ginásio', 'Hipermercado', 'Hospital', 'Mercado', 'Metro', 'Posto de Combustível', 'Praça Táxis', 'Universidade', 'Vista para Cidade', 'Zona Comercial', 'Zona Histórica'], 'equipamentos': ['Caixilharia corte térmico', 'Caldeira', 'Detector de Fumos', 'Elevador: 1', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Roupeiros', 'Roupeiros embutidos', 'Vidros Duplos', 'Aquecimento Central', 'Combinado', 'Máquina de Lavar Roupa', 'Microondas', 'Placa Vitrocerâmica'], 'conforto-e-lazer': ['Luz Natural', 'Histórico'], 'extras': ['Conservação: Bom', 'Fim da construção: 1989-12-01', 'Piso: 2'], 'areas': ['Área Bruta: 76.00', 'Área Útil: 71.00', 'Área Varanda: 5.00']};{'lat': '41.14782', 'long': '-8.62044'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1055946&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-hospital-santo-antonio-099cb444-c53e-11f0-9e61-060000000056.html?g3pid=1055946;380.000 €;Dils Portugal
