descricao;dados_imovel;caracteristicas;coordenadas;link;preco
Apartamento T1 para comprar no Porto;{'ESTADO': 'Novo', 'ÁREA ÚTIL': '41m²', 'ÁREA BRUTA': '45m²', 'LICENÇA DE HABITAÇÃO': '80653/25', 'REFERÊNCIA': 'CasaSAPO_APA_41', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 117', 'CLIQUES': '51', 'PUBLICADO EM': '03/04/2025'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): 1', 'Kitchenet'], 'zona-envolvente': ['Centro da Cidade', 'Polícia', 'Transportes Públicos', 'Distância metro: 60', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Hipermercado', 'Hospital', 'Metro', 'Vista para Cidade'], 'equipamentos': ['Água Quente Solar', 'Bicicletário', 'Bomba de calor', 'Combinado', 'Exaustor', 'Fogão', 'Frigorífico', 'Isolamento Acústico', 'Isolamento Térmico', 'Microondas', 'Painéis Solares', 'Poliban/Base de Duche: 1', 'Pré-Instalação de Internet', 'Roupeiros', 'Video Porteiro: 1', 'Vidros Duplos'], 'areas': ['Área de Quarto: 10.00', 'Área de Casa de Banho: 4.70', 'Área de Sala: 17.60', 'Área Bruta: 45.00', 'Área Útil: 41.00']};{'lat': '41.1584792746', 'long': '-8.6091467947'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016432&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t1-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-camoes-(santo-ildefonso)-d3c68107-107d-11f0-9e0e-060000000057.html?g3pid=1016432;240.000 €
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '74m²', 'ANO DE CONSTRUÇÃO': '2028', 'REFERÊNCIA': 'CasaSAPO_APTSFS299.1', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 659', 'CLIQUES': '42', 'PUBLICADO EM': '27/03/2025'};{'divisoes': ['Casa(s) de Banho: 2', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Open Space: 1', 'Sala(s): 1', 'Suite(s): 2', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Nascente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial'], 'equipamentos': ['Caixilharia corte térmico', 'Combinado', 'Detector de Incêndio', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche', 'Porta Alta Segurança', 'Roupeiros: 2', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2028-09-30', 'Piso: 5'], 'areas': ['Área de Quarto: 12.40', 'Área de Quarto: 15.20', 'Área de Casa de Banho: 4.00', 'Área de Casa de Banho: 2.50', 'Área de Sala: 23.30', 'Área Bruta: 74.80'], 'infraestruturas': ['Acesso Pavimentado', 'Estacionamento Interior: 1', 'Logradouro']};{'lat': '41.1716957291', 'long': '-8.6179229589'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016288&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-paranhos-74da44a3-0a65-11f0-9e61-060000000056.html?g3pid=1016288;305.900 €
Apartamento T1 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '70m²', 'ANO DE CONSTRUÇÃO': '2020', 'CERTIFICAÇÃO ENERGÉTICA': 'B-', 'VISUALIZAÇÕES': '1 300', 'CLIQUES': '47', 'PUBLICADO EM': '27/03/2025'};{'divisoes': ['Corredor', 'Casa(s) de Banho', 'Cozinha(s)', 'Despensa(s): 1', 'Hall de Entrada', 'Lavandaria', 'Total quarto(s): 1', 'Sala(s): 1', 'Varandas', 'Casa de Banho Privativa'], 'zona-envolvente': ['Espaços Verdes', 'Centro da Cidade', 'Farmácia', 'Hospital', 'Áreas de Lazer Infantil', 'Transportes Públicos', 'Zona Comercial', 'Biblioteca', 'Vista para Cidade', 'Praça Táxis', 'Zona Histórica', 'Orientação Solar: Poente', 'Banco', 'Mercado'], 'seguranca': ['Vídeo vigilância'], 'equipamentos': ['Ar Condicionado', 'Exaustor', 'Elevador', 'Forno', 'Frigorífico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Máquina de Secar Roupa', 'Microondas', 'Toalheiros Aquecidos', 'Vidros Duplos', 'Video Porteiro', 'Placa Vitrocerâmica'], 'extras': ['Piso: 3']};{'lat': '41.1501572031', 'long': '-8.617243853'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1015241&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-centro-(cedofeita)-4a38e1a6-f66e-4b7e-ac7b-13491ae39b58.html?g3pid=1015241;380.000 €
Apartamento T4 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA BRUTA': '302m²', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '6 123', 'CLIQUES': '124', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 4']};{'lat': '41.163061', 'long': '-8.587457'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1010981&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-porto-campanha-antas-291abfd5-cd29-4b9b-977c-80adfbad0232.html?g3pid=1010981;790.000 €
Apartamento T3 para comprar no Porto;{'ESTADO': 'Renovado', 'ÁREA ÚTIL': '141m²', 'ÁREA BRUTA': '170m²', 'ANO DE CONSTRUÇÃO': '2002', 'CERTIFICAÇÃO ENERGÉTICA': 'B-', 'VISUALIZAÇÕES': '1 731', 'CLIQUES': '67', 'PUBLICADO EM': '30/03/2025'};{'divisoes': ['Corredor: 1', 'Casa(s) de Banho: 3', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Lavandaria: 1', 'Total quarto(s): 3', 'Sala(s): 1', 'Varandas: 1'], 'zona-envolvente': ['Espaços Verdes', 'Auto-Estrada', 'Centro da Cidade', 'Escola', 'Farmácia', 'Ginásio', 'Áreas de Lazer Infantil', 'Transportes Públicos', 'Zona Comercial', 'Praça Táxis', 'Centro Comercial', 'Piscinas', 'Orientação Solar: Nascente/Poente', 'Mercado', 'Posto de Combustível', 'Metro'], 'seguranca': ['Segurança 24 horas'], 'equipamentos': ['Aquecimento Central', 'Detector de Incêndio', 'Elevador', 'Estores Electricos', 'Fogão', 'Forno', 'Gás Natural', 'Isolamento Térmico', 'Lareira', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Porta Alta Segurança', 'Roupeiros', 'Toalheiros Aquecidos', 'Vidros Duplos', 'Video Porteiro', 'Placa a gás', 'Recuperador de calor', 'Combinado'], 'extras': ['Conservação: Excelente', 'Piso: 4']};{'lat': '41.1529375896', 'long': '-8.6455182386'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1015552&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-porto-lordelo-do-ouro-e-massarelos-rua-do-campo-alegre-2d79f190-8a1d-43ca-a5b1-f81cd55ad1b4.html?g3pid=1015552;579.000 €
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '60m²', 'ANO DE CONSTRUÇÃO': '2028', 'REFERÊNCIA': 'CasaSAPO_APTSFS333.1', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 741', 'CLIQUES': '11', 'PUBLICADO EM': '28/03/2025'};{'divisoes': ['Casa(s) de Banho: 1', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Open Space: 1', 'Sala(s): 1', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Nascente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial'], 'equipamentos': ['Caixilharia corte térmico', 'Combinado', 'Detector de Incêndio', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche', 'Porta Alta Segurança', 'Roupeiros: 1', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2028-09-30', 'Piso: 5'], 'areas': ['Área de Quarto: 11.50', 'Área de Quarto: 5.60', 'Área de Casa de Banho: 4.00', 'Área de Sala: 26.70', 'Área Bruta: 60.70'], 'infraestruturas': ['Acesso Pavimentado', 'Estacionamento Interior: 1', 'Logradouro']};{'lat': '41.1726155673', 'long': '-8.6196154551'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016287&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-paranhos-89a369f3-0b0a-11f0-9e61-060000000056.html?g3pid=1016287;265.900 €
Apartamento T2 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA BRUTA': '89m²', 'LICENÇA DE HABITAÇÃO': '57506/2024', 'REFERÊNCIA': 'CasaSAPO_87045', 'CERTIFICAÇÃO ENERGÉTICA': 'A+', 'VISUALIZAÇÕES': '1 497', 'CLIQUES': '13', 'PUBLICADO EM': '26/03/2025'};{'divisoes': ['Total quarto(s): 2', 'Casa(s) de Banho: 2', 'Cozinha(s)', 'Sala(s): 1', 'Varandas'], 'zona-envolvente': ['Banco', 'Bombeiros', 'Condomínio Fechado', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Polícia', 'Posto de Combustível', 'Transportes Públicos', 'Metro'], 'equipamentos': ['Aquecimento Central', 'Aquecimento coletivo', 'Ar Condicionado', 'Detector de Incêndio', 'Domótica', 'Elevador', 'Estores Electricos', 'Exaustor', 'Forno', 'Frigorífico', 'Gás Canalizado', 'Gás Natural', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Placa de Indução', 'Porta Alta Segurança', 'Roupeiros', 'Video Porteiro'], 'extras': ['Piso: 7'], 'areas': ['Área de Quarto: 15.00', 'Área de Quarto: 12.00', 'Área de Casa de Banho: 5.00', 'Área de Casa de Banho: 5.00', 'Área de Sala: 30.00', 'Área Bruta: 89.00', 'Área Varanda: 8.00'], 'servicos': ['Cozinha Equipada'], 'infraestruturas': ['Acesso Mobilidade Reduzida', 'Anexos', 'Arrecadação', 'Estacionamento Exterior', 'Estacionamento Interior', 'Garagem: 1', 'Jardim', 'Parque infantil', 'Piscina', 'Piscina Comum', 'Piscina Privada', 'Salão de Festas']};{'lat': '41.1637727201', 'long': '-8.5860991916'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016279&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-campanha-antas-db2410d7-fff4-11ef-9621-060000000058.html?g3pid=1016279;379.900 €
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '73m²', 'ANO DE CONSTRUÇÃO': '2028', 'REFERÊNCIA': 'CasaSAPO_APTSFS307.1', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 543', 'CLIQUES': '2', 'PUBLICADO EM': '27/03/2025'};{'divisoes': ['Casa(s) de Banho: 3', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Open Space: 1', 'Sala(s): 1', 'Suite(s): 2', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Nascente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial'], 'equipamentos': ['Caixilharia corte térmico', 'Combinado', 'Detector de Incêndio', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche', 'Porta Alta Segurança', 'Roupeiros: 2', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2028-09-30', 'Piso: 6'], 'areas': ['Área de Quarto: 11.90', 'Área de Quarto: 15.20', 'Área de Casa de Banho: 4.00', 'Área de Casa de Banho: 1.60', 'Área de Casa de Banho: 2.50', 'Área de Sala: 27.60', 'Área Bruta: 73.90'], 'infraestruturas': ['Acesso Pavimentado', 'Estacionamento Interior: 1', 'Logradouro']};{'lat': '41.1663450602', 'long': '-8.6184276584'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016173&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-paranhos-7b3b6f04-0a62-11f0-9e61-060000000056.html?g3pid=1016173;315.900 €
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '84m²', 'ANO DE CONSTRUÇÃO': '2028', 'REFERÊNCIA': 'CasaSAPO_APTSFS293.1', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 524', 'CLIQUES': '3', 'PUBLICADO EM': '27/03/2025'};{'divisoes': ['Casa(s) de Banho: 3', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Open Space: 1', 'Sala(s): 1', 'Suite(s): 2', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Norte/Nascente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial'], 'equipamentos': ['Caixilharia corte térmico', 'Combinado', 'Detector de Incêndio', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche', 'Porta Alta Segurança', 'Roupeiros: 2', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2028-09-30', 'Piso: 4'], 'areas': ['Área de Quarto: 11.60', 'Área de Quarto: 14.90', 'Área de Casa de Banho: 4.00', 'Área de Casa de Banho: 1.60', 'Área de Casa de Banho: 2.50', 'Área de Sala: 28.90', 'Área Bruta: 84.50'], 'infraestruturas': ['Acesso Pavimentado', 'Estacionamento Interior: 1', 'Logradouro']};{'lat': '41.1735742778', 'long': '-8.6166287091'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016172&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-paranhos-9db86baf-0a66-11f0-9e61-060000000056.html?g3pid=1016172;335.900 €
Apartamento T2 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA BRUTA': '60m²', 'ANO DE CONSTRUÇÃO': '2028', 'REFERÊNCIA': 'CasaSAPO_APTSFS337.1', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '1 451', 'CLIQUES': '5', 'PUBLICADO EM': '28/03/2025'};{'divisoes': ['Casa(s) de Banho: 1', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Open Space: 1', 'Sala(s): 1', 'Total quarto(s): 2'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Biblioteca', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Escola', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Mercado', 'Metro', 'Orientação Solar: Poente', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade', 'Zona Comercial'], 'equipamentos': ['Caixilharia corte térmico', 'Combinado', 'Detector de Incêndio', 'Elevador', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Isolamento Térmico', 'Máquina de Lavar Louça', 'Máquina de Lavar Roupa', 'Microondas', 'Placa de Indução', 'Poliban/Base de Duche', 'Porta Alta Segurança', 'Roupeiros: 1', 'Video Porteiro', 'Vidros Duplos'], 'conforto-e-lazer': ['Cosmopolita', 'Luz Natural'], 'extras': ['Conservação: Excelente', 'Fim da construção: 2028-09-30', 'Piso: 6'], 'areas': ['Área de Quarto: 11.50', 'Área de Quarto: 5.60', 'Área de Casa de Banho: 4.00', 'Área de Sala: 26.70', 'Área Bruta: 60.70'], 'infraestruturas': ['Acesso Pavimentado', 'Estacionamento Interior: 1', 'Logradouro']};{'lat': '41.1689330957', 'long': '-8.6184504461'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1016170&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-paranhos-e9c67c66-0b0b-11f0-9e61-060000000056.html?g3pid=1016170;279.900 €
