descricao;dados_imovel;caracteristicas;coordenadas;link;preco;anunciante
Apartamento T3 para comprar no Porto;{'ÁREA ÚTIL': '127m²', 'ÁREA BRUTA': '156m²', 'REFERÊNCIA': 'CasaSAPO_APA_938', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '307', 'CLIQUES': '9', 'PUBLICADO EM': '14/11/2025'};{'divisoes': ['Casa(s) de Banho: 3', 'Closet', 'Cozinha(s)', 'Despensa(s)', 'Hall de Entrada', 'Lavabo', 'Lavandaria', 'Sala(s): 1', 'Suite(s): 1', 'Total quarto(s): 3', 'Varandas: 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Auto-Estrada', 'Escola', 'Estacionamento', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Orientação Solar: Nascente/Sul', 'Transportes Públicos', 'Universidade', 'Vista para Cidade'], 'seguranca': ['Portaria'], 'equipamentos': ['Aquecimento Central', 'Banheira com Hidromassagem', 'Combinado', 'Elevador', 'Exaustor', 'Forno', 'Gás Canalizado', 'Gás Natural', 'Máquina de Lavar Louça', 'Microondas', 'Placa Vitrocerâmica', 'Roupeiros embutidos', 'Video Porteiro', 'Vidros Duplos'], 'extras': ['Piso: 1'], 'areas': ['Área Bruta: 156.00', 'Área Útil: 127.79'], 'infraestruturas': ['Garagem: 2']};{'lat': '41.15757', 'long': '-8.64981'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1055527&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-lordelo-do-ouro-e-massarelos-rua-do-campo-alegre-140b3ffa-be59-11f0-9e61-060000000056.html?g3pid=1055527;695.000 €;INVEST CONSULTING
Apartamento T3 para comprar no Porto;{'ÁREA BRUTA': '90m²', 'REFERÊNCIA': 'CasaSAPO_APA_974', 'CERTIFICAÇÃO ENERGÉTICA': 'E', 'VISUALIZAÇÕES': '238', 'CLIQUES': '3', 'PUBLICADO EM': '09/12/2025'};{'divisoes': ['Casa(s) de Banho: 4', 'Sala(s): 1', 'Total quarto(s): 3', 'Hall de Quartos', 'Lavandaria'], 'zona-envolvente': ['Centro da Cidade', 'Farmácia', 'Hipermercado', 'Transportes Públicos'], 'equipamentos': ['Exaustor', 'Fogão', 'Forno', 'Frigorífico', 'Máquina de Lavar Roupa', 'Máquina de Secar Roupa', 'Placa Vitrocerâmica'], 'extras': ['Conservação: Bom', 'Piso: 1'], 'areas': ['Área Bruta: 90.00']};{'lat': '41.15589', 'long': '-8.61733'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1055526&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-38e833f9-d515-11f0-9e61-060000000056.html?g3pid=1055526;545.000 €;INVEST CONSULTING
Apartamento T1 para comprar no Porto;{'ESTADO': 'Usado', 'ÁREA ÚTIL': '50m²', 'ÁREA BRUTA': '55m²', 'REFERÊNCIA': 'CasaSAPO_APTMIT011', 'CERTIFICAÇÃO ENERGÉTICA': 'F', 'VISUALIZAÇÕES': '844', 'CLIQUES': '56', 'PARTILHAS': '1', 'PUBLICADO EM': '02/12/2025'};{'divisoes': ['Casa de Banho Partilhada: 1', 'Casa(s) de Banho: 1', 'Corredor', 'Cozinha(s): 1', 'Hall de Entrada: 1', 'Hall de Quartos: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Total quarto(s): 1', 'Varandas: 1'], 'zona-envolvente': ['Ampla Oferta de Serviços', 'Áreas de Lazer Infantil', 'Auto-Estrada', 'Banco', 'Bombeiros', 'Centro Comercial', 'Centro da Cidade', 'Centro de Saúde', 'Comércio Tradicional', 'Espaços Verdes', 'Estacionamento', 'Estacionamento Público', 'Excelentes Acessos', 'Farmácia', 'Ginásio', 'Hipermercado', 'Hospital', 'Mercado', 'Orientação Solar: Norte/Sul', 'Posto de Combustível', 'Transportes Públicos', 'Vista para Cidade'], 'equipamentos': ['Combinado', 'Esquentador: 1', 'Exaustor', 'Fogão', 'Forno', 'Frigorífico', 'Isolamento Acústico', 'Isolamento Térmico', 'Ligação Wi-fi', 'Microondas', 'Poliban/Base de Duche: 1', 'Roupeiros: 1', 'Roupeiros embutidos'], 'conforto-e-lazer': ['Contemporâneo', 'Cosmopolita', 'Luz Natural'], 'extras': ['Piso: Não'], 'areas': ['Área Bruta: 55.00', 'Área Útil: 50.00']};{'lat': '41.1496', 'long': '-8.62158'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1055268&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t1-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-bbcaf2f8-cf71-11f0-9e61-060000000056.html?g3pid=1055268;195.000 €;IMOJOY Real Estate
Apartamento T3 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '167m²', 'ÁREA BRUTA': '423m²', 'REFERÊNCIA': 'CasaSAPO_SAVPRT16014', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '787', 'CLIQUES': '7', 'PUBLICADO EM': '03/12/2025'};{'divisoes': ['Casa de Banho Privativa: 3', 'Casa(s) de Banho: 4', 'Cozinha(s)', 'Hall de Entrada', 'Hall de Quartos', 'Lavandaria', 'Número de pisos: 1', 'Sala(s): 1', 'Suite(s): 3', 'Total quarto(s): 3'], 'zona-envolvente': ['Escola', 'Transportes Públicos'], 'seguranca': ['Vídeo vigilância'], 'equipamentos': ['Alarme', 'Ar Condicionado', 'Bomba de calor', 'Combinado', 'Detector de Incêndio', 'Detector de Intrusão', 'Detector de Inundação', 'Domótica', 'Elevador: 2', 'Exaustor', 'Forno', 'Isolamento Acústico', 'Máquina de Lavar Louça', 'Microondas', 'Piso Radiante: elétrico', 'Placa de Indução', 'Vidros Duplos'], 'extras': ['Piso: Não'], 'areas': ['Área de Quarto: 23.00', 'Área de Quarto: 15.00', 'Área de Quarto: 16.00', 'Área de Casa de Banho: 6.00', 'Área de Casa de Banho: 4.00', 'Área de Casa de Banho: 3.00', 'Área de Casa de Banho: 3.00', 'Área de Sala: 39.00', 'Área Bruta: 423.00', 'Área Bruta Privativa: 167.00', 'Área do jardim: 256.00', 'Área Útil: 167.00'], 'infraestruturas': ['Arrecadação: 1', 'Garagem: 2', 'Jardim']};{'lat': '41.1606202955', 'long': '-8.6730816788'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054834&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-aldoar-foz-do-douro-e-nevogilde-foz-(foz-do-douro)-afe2aad9-a399-11f0-b6a1-060000000058.html?g3pid=1054834;1.700.000 €;Savills Portugal
Apartamento T0 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '39m²', 'ÁREA BRUTA': '50m²', 'REFERÊNCIA': 'CasaSAPO_16080-p', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '5 009', 'CLIQUES': '35', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): Não'], 'areas': ['Área Bruta: 50.70', 'Área Útil: 39.10']};{'lat': '41.1527738209', 'long': '-8.6086278828'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054719&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t0-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-22fcda11-04d6-11f0-8add-060000000054.html?g3pid=1054719;227.000 €;A Predial Liz - Sociedade Mediação Imobiliária, Lda
Apartamento T0 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '38m²', 'ÁREA BRUTA': '40m²', 'REFERÊNCIA': 'CasaSAPO_16114A-p', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '3 340', 'CLIQUES': '30', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Número de pisos: 6', 'Sala(s): 1', 'Total quarto(s): Não', 'Varandas: 1'], 'zona-envolvente': ['Auto-Estrada', 'Centro da Cidade', 'Escola', 'Farmácia', 'Transportes Públicos'], 'equipamentos': ['Elevador', 'Ar Condicionado', 'Bomba de calor', 'Combinado', 'Forno', 'Microondas', 'Placa Vitrocerâmica'], 'areas': ['Área Bruta: 40.25', 'Área Útil: 38.40', 'Área Varanda: 1.85'], 'servicos': ['Cozinha Equipada']};{'lat': '41.1610216065', 'long': '-8.6170574781'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054704&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t0-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-carvalhido-1a416c7c-4deb-11f0-8add-060000000054.html?g3pid=1054704;198.000 €;A Predial Liz - Sociedade Mediação Imobiliária, Lda
Apartamento T0 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '38m²', 'ÁREA BRUTA': '40m²', 'REFERÊNCIA': 'CasaSAPO_16118-p', 'CERTIFICAÇÃO ENERGÉTICA': 'A', 'VISUALIZAÇÕES': '4 609', 'CLIQUES': '33', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Número de pisos: 6', 'Sala(s): 1', 'Total quarto(s): Não', 'Varandas: 1'], 'zona-envolvente': ['Auto-Estrada', 'Centro da Cidade', 'Escola', 'Farmácia', 'Transportes Públicos'], 'equipamentos': ['Ar Condicionado', 'Bomba de calor', 'Combinado', 'Elevador', 'Forno', 'Microondas', 'Placa Vitrocerâmica'], 'areas': ['Área Bruta: 40.25', 'Área Útil: 38.40', 'Área Varanda: 1.85'], 'servicos': ['Cozinha Equipada']};{'lat': '41.1637744878', 'long': '-8.6172695119'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054701&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t0-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-carvalhido-8a5a367b-5688-11f0-8add-060000000054.html?g3pid=1054701;215.000 €;A Predial Liz - Sociedade Mediação Imobiliária, Lda
Apartamento T2 para comprar no Porto;{'ÁREA ÚTIL': '130m²', 'ÁREA BRUTA': '140m²', 'ANO DE CONSTRUÇÃO': '2012', 'REFERÊNCIA': 'CasaSAPO_16126-p', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '4 226', 'CLIQUES': '51', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 3', 'Cozinha(s): 1', 'Lavandaria: 1', 'Total quarto(s): 2', 'Sala(s): 1', 'Suite(s): 1', 'Número de pisos: 1'], 'zona-envolvente': ['Auto-Estrada', 'Escola', 'Espaços Verdes', 'Farmácia', 'Hipermercado', 'Transportes Públicos'], 'equipamentos': ['Aquecimento Central', 'Roupeiros: Não', 'Elevador', 'Bomba de calor'], 'extras': ['Fim da construção: 2012-01-01', 'Conservação: Bom'], 'areas': ['Área de Quarto: 14.00', 'Área de Sala: 40.00', 'Área de Suite: 18.00', 'Área Útil: 130.00', 'Área Bruta: 140.00', 'Área de Terreno'], 'servicos': ['Cozinha Equipada', 'Gás'], 'infraestruturas': ['Garagem: 1']};{'lat': '41.1583111435', 'long': '-8.6671908391'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054699&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t2-porto-aldoar-foz-do-douro-e-nevogilde-aviz-(aldoar)-ee60c585-8165-4fc6-a9ee-d447d4823271.html?g3pid=1054699;630.000 €;A Predial Liz - Sociedade Mediação Imobiliária, Lda
Apartamento T3 para comprar no Porto;{'ÁREA ÚTIL': '150m²', 'ÁREA BRUTA': '152m²', 'ANO DE CONSTRUÇÃO': '2002', 'REFERÊNCIA': 'CasaSAPO_16129-p', 'CERTIFICAÇÃO ENERGÉTICA': 'C', 'VISUALIZAÇÕES': '2 853', 'CLIQUES': '41', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 2', 'Cozinha(s): 1', 'Hall de Quartos: 1', 'Número de pisos: 1', 'Sala(s): 1', 'Suite(s): 1', 'Total quarto(s): 3', 'Varandas: 1'], 'zona-envolvente': ['Auto-Estrada', 'Distância do Mar: 1km', 'Escola', 'Espaços Verdes', 'Farmácia', 'Hipermercado', 'Orientação Solar: Norte', 'Perto da praia', 'Transportes Públicos'], 'seguranca': ['Segurança 24 horas'], 'equipamentos': ['Aquecimento Central', 'Elevador: 2', 'Exaustor', 'Forno', 'Frigorífico', 'Placa Vitrocerâmica', 'Roupeiros: Não'], 'extras': ['Conservação: Bom', 'Fim da construção: 2002-01-01'], 'areas': ['Área de Quarto: 15.00', 'Área de Quarto: 13.00', 'Área de Sala: 27.00', 'Área Bruta: 152.00', 'Área Útil: 150.00'], 'infraestruturas': ['Garagem: 1']};{'lat': '41.1642738293', 'long': '-8.6652900623'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054696&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t3-porto-aldoar-foz-do-douro-e-nevogilde-aviz-(aldoar)-9b824b4e-6d4f-11f0-8add-060000000054.html?g3pid=1054696;750.000 €;A Predial Liz - Sociedade Mediação Imobiliária, Lda
Apartamento T1 para comprar no Porto;{'ESTADO': 'Em construção', 'ÁREA ÚTIL': '60m²', 'ÁREA BRUTA': '63m²', 'REFERÊNCIA': 'CasaSAPO_15647B-p', 'CERTIFICAÇÃO ENERGÉTICA': 'B-', 'VISUALIZAÇÕES': '5 479', 'CLIQUES': '29', 'PUBLICADO EM': 'há mais de um mês'};{'divisoes': ['Casa(s) de Banho: 1', 'Sala(s): 1', 'Total quarto(s): 1'], 'zona-envolvente': ['Auto-Estrada', 'Centro da Cidade', 'Espaços Verdes', 'Farmácia', 'Hospital', 'Posto de Combustível', 'Praça Táxis', 'Transportes Públicos', 'Zona Comercial'], 'equipamentos': ['Ar Condicionado', 'Combinado', 'Exaustor', 'Forno', 'Placa de Indução', 'Porta Alta Segurança', 'Roupeiros', 'Video Porteiro', 'Vidros Duplos'], 'areas': ['Área Bruta: 63.80', 'Área Útil: 60.00']};{'lat': '41.1545769619', 'long': '-8.6233735893'};https://gespub.casa.sapo.pt/v3/webinterface/client/counter.aspx?c=1&p=1054713&s=0&ps=1&SA=13&TW=190&MCA=1&BU=1&l=https://casa.sapo.pt/comprar-apartamento-t1-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria-maternidade-(cedofeita)-0ed907df-bd05-11ed-adb9-060000000054.html?g3pid=1054713;360.000 €;A Predial Liz - Sociedade Mediação Imobiliária, Lda
